age,education,gender,vision_impairment,stimulusName,rationale,stimulusOrder,designName,designCost,rank,designOrder,userKey,compTime,tunedCost,excluded
45-54,"Some college, no degree",Female,no,Stimulus 3,The best clip has a great way of swapping around the information and showing exactly how opposite these values can be.  I did not like the last one because it was so slow in the transition. ,2,stage1-rank1,0.36439,5,4,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140424,0.04096,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 3,The best clip has a great way of swapping around the information and showing exactly how opposite these values can be.  I did not like the last one because it was so slow in the transition. ,2,stage2-rank1,0.22139,3,1,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140424,0.47506,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 3,The best clip has a great way of swapping around the information and showing exactly how opposite these values can be.  I did not like the last one because it was so slow in the transition. ,2,stage2-rank2,1.39426,4,2,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140424,1.57981,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 3,The best clip has a great way of swapping around the information and showing exactly how opposite these values can be.  I did not like the last one because it was so slow in the transition. ,2,stage2-rank3,2.46565,1,0,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140424,2.90487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 3,The best clip has a great way of swapping around the information and showing exactly how opposite these values can be.  I did not like the last one because it was so slow in the transition. ,2,stage3-rank1,0.48871,2,3,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140424,1.24883,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 1,"The first pick is very simple in the execution.  There are no fancy effects, it just populates with the new data.  My worst pick has all that weird effect of the dots leaving the graph.  It is too much and feels too busy that way. ",3,stage1-rank1,0.11439,5,3,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140873,0,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 1,"The first pick is very simple in the execution.  There are no fancy effects, it just populates with the new data.  My worst pick has all that weird effect of the dots leaving the graph.  It is too much and feels too busy that way. ",3,stage2-rank1,0,2,1,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140873,0.15487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 1,"The first pick is very simple in the execution.  There are no fancy effects, it just populates with the new data.  My worst pick has all that weird effect of the dots leaving the graph.  It is too much and feels too busy that way. ",3,stage2-rank2,0.41565,1,2,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140873,0.85487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 1,"The first pick is very simple in the execution.  There are no fancy effects, it just populates with the new data.  My worst pick has all that weird effect of the dots leaving the graph.  It is too much and feels too busy that way. ",3,stage2-rank3,0.91565,4,0,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140873,1.35487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 1,"The first pick is very simple in the execution.  There are no fancy effects, it just populates with the new data.  My worst pick has all that weird effect of the dots leaving the graph.  It is too much and feels too busy that way. ",3,stage3-rank1,0.08484,3,4,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,140873,0.69883,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 1,"The best ones, in first and second place remove the 2 room units first, then zoom into the data, it looks a lot more clean.",0,stage1-rank1,0.11439,5,1,16Hr4I1I5lROUUt28NCtjAr6tY02,288221,0,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 1,"The best ones, in first and second place remove the 2 room units first, then zoom into the data, it looks a lot more clean.",0,stage2-rank1,0,1,0,16Hr4I1I5lROUUt28NCtjAr6tY02,288221,0.15487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 1,"The best ones, in first and second place remove the 2 room units first, then zoom into the data, it looks a lot more clean.",0,stage2-rank2,0.41565,3,2,16Hr4I1I5lROUUt28NCtjAr6tY02,288221,0.85487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 1,"The best ones, in first and second place remove the 2 room units first, then zoom into the data, it looks a lot more clean.",0,stage2-rank3,0.91565,4,4,16Hr4I1I5lROUUt28NCtjAr6tY02,288221,1.35487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 1,"The best ones, in first and second place remove the 2 room units first, then zoom into the data, it looks a lot more clean.",0,stage3-rank1,0.08484,2,3,16Hr4I1I5lROUUt28NCtjAr6tY02,288221,0.69883,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 4,"The best one shows the averages as blue dots with enough time to read them before having the background scale to the data. The worst is confusing with the dots and then scales the bars, it is just a lot more confusing.",1,stage1-rank1,1.01439,2,1,16Hr4I1I5lROUUt28NCtjAr6tY02,214146,0.39096,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 4,"The best one shows the averages as blue dots with enough time to read them before having the background scale to the data. The worst is confusing with the dots and then scales the bars, it is just a lot more confusing.",1,stage2-rank1,0.74426,3,2,16Hr4I1I5lROUUt28NCtjAr6tY02,214146,0.92981,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 4,"The best one shows the averages as blue dots with enough time to read them before having the background scale to the data. The worst is confusing with the dots and then scales the bars, it is just a lot more confusing.",1,stage2-rank2,1.11565,1,3,16Hr4I1I5lROUUt28NCtjAr6tY02,214146,1.25487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 4,"The best one shows the averages as blue dots with enough time to read them before having the background scale to the data. The worst is confusing with the dots and then scales the bars, it is just a lot more confusing.",1,stage2-rank3,1.64426,5,4,16Hr4I1I5lROUUt28NCtjAr6tY02,214146,1.52981,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 4,"The best one shows the averages as blue dots with enough time to read them before having the background scale to the data. The worst is confusing with the dots and then scales the bars, it is just a lot more confusing.",1,stage3-rank1,0.87229,4,0,16Hr4I1I5lROUUt28NCtjAr6tY02,214146,1.29883,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 2,"The best shows the data moving into the frame as the time passes, it looks like the data is really being accompanied with the expanded time. The worst  wastes time scrunching the data before adding the future data into the frame.",2,stage1-rank1,0.11439,1,0,16Hr4I1I5lROUUt28NCtjAr6tY02,265397,0,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 2,"The best shows the data moving into the frame as the time passes, it looks like the data is really being accompanied with the expanded time. The worst  wastes time scrunching the data before adding the future data into the frame.",2,stage2-rank1,0,2,4,16Hr4I1I5lROUUt28NCtjAr6tY02,265397,0.15487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 2,"The best shows the data moving into the frame as the time passes, it looks like the data is really being accompanied with the expanded time. The worst  wastes time scrunching the data before adding the future data into the frame.",2,stage2-rank2,0.41565,4,2,16Hr4I1I5lROUUt28NCtjAr6tY02,265397,0.85487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 2,"The best shows the data moving into the frame as the time passes, it looks like the data is really being accompanied with the expanded time. The worst  wastes time scrunching the data before adding the future data into the frame.",2,stage2-rank3,0.91565,3,1,16Hr4I1I5lROUUt28NCtjAr6tY02,265397,1.35487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 2,"The best shows the data moving into the frame as the time passes, it looks like the data is really being accompanied with the expanded time. The worst  wastes time scrunching the data before adding the future data into the frame.",2,stage3-rank1,0,5,3,16Hr4I1I5lROUUt28NCtjAr6tY02,265397,0.69883,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 3,"The best one looks a lot more smooth, resizing the data as the song changes positions. The worst one seems to take longer, the shortening of the data while the song names change positions looks odd.",3,stage1-rank1,0.36439,1,3,16Hr4I1I5lROUUt28NCtjAr6tY02,306792,0.04096,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 3,"The best one looks a lot more smooth, resizing the data as the song changes positions. The worst one seems to take longer, the shortening of the data while the song names change positions looks odd.",3,stage2-rank1,0.22139,2,1,16Hr4I1I5lROUUt28NCtjAr6tY02,306792,0.47506,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 3,"The best one looks a lot more smooth, resizing the data as the song changes positions. The worst one seems to take longer, the shortening of the data while the song names change positions looks odd.",3,stage2-rank2,1.39426,4,0,16Hr4I1I5lROUUt28NCtjAr6tY02,306792,1.57981,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 3,"The best one looks a lot more smooth, resizing the data as the song changes positions. The worst one seems to take longer, the shortening of the data while the song names change positions looks odd.",3,stage2-rank3,2.46565,5,2,16Hr4I1I5lROUUt28NCtjAr6tY02,306792,2.90487,FALSE
25-34,Associate or Bachelors degree,Male,no,Stimulus 3,"The best one looks a lot more smooth, resizing the data as the song changes positions. The worst one seems to take longer, the shortening of the data while the song names change positions looks odd.",3,stage3-rank1,0.48871,3,4,16Hr4I1I5lROUUt28NCtjAr6tY02,306792,1.24883,FALSE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,"Pixar is best known for CGI-animated feature films created with RenderMan, the company's own implementation of the industry-standard RenderMan image.",0,stage1-rank1,0.11439,2,1,1R8bRFWzuIhNiRandt7SpXabpDp2,200712,0,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,"Pixar is best known for CGI-animated feature films created with RenderMan, the company's own implementation of the industry-standard RenderMan image.",0,stage2-rank1,0,3,0,1R8bRFWzuIhNiRandt7SpXabpDp2,200712,0.15487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,"Pixar is best known for CGI-animated feature films created with RenderMan, the company's own implementation of the industry-standard RenderMan image.",0,stage2-rank2,0.41565,5,2,1R8bRFWzuIhNiRandt7SpXabpDp2,200712,0.85487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,"Pixar is best known for CGI-animated feature films created with RenderMan, the company's own implementation of the industry-standard RenderMan image.",0,stage2-rank3,0.91565,1,3,1R8bRFWzuIhNiRandt7SpXabpDp2,200712,1.35487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 2,"Pixar is best known for CGI-animated feature films created with RenderMan, the company's own implementation of the industry-standard RenderMan image.",0,stage3-rank1,0,4,4,1R8bRFWzuIhNiRandt7SpXabpDp2,200712,0.69883,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,"rendering application programming interface, used to generate high-quality images.",1,stage1-rank1,1.01439,3,0,1R8bRFWzuIhNiRandt7SpXabpDp2,56572,0.39096,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,"rendering application programming interface, used to generate high-quality images.",1,stage2-rank1,0.74426,5,3,1R8bRFWzuIhNiRandt7SpXabpDp2,56572,0.92981,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,"rendering application programming interface, used to generate high-quality images.",1,stage2-rank2,1.11565,1,1,1R8bRFWzuIhNiRandt7SpXabpDp2,56572,1.25487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,"rendering application programming interface, used to generate high-quality images.",1,stage2-rank3,1.64426,4,2,1R8bRFWzuIhNiRandt7SpXabpDp2,56572,1.52981,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 4,"rendering application programming interface, used to generate high-quality images.",1,stage3-rank1,0.87229,2,4,1R8bRFWzuIhNiRandt7SpXabpDp2,56572,1.29883,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,"Currently, DreamWorks operates out of offices at Universal Studios. ",2,stage1-rank1,0.11439,3,0,1R8bRFWzuIhNiRandt7SpXabpDp2,65068,0,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,"Currently, DreamWorks operates out of offices at Universal Studios. ",2,stage2-rank1,0,4,4,1R8bRFWzuIhNiRandt7SpXabpDp2,65068,0.15487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,"Currently, DreamWorks operates out of offices at Universal Studios. ",2,stage2-rank2,0.41565,5,2,1R8bRFWzuIhNiRandt7SpXabpDp2,65068,0.85487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,"Currently, DreamWorks operates out of offices at Universal Studios. ",2,stage2-rank3,0.91565,1,1,1R8bRFWzuIhNiRandt7SpXabpDp2,65068,1.35487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 1,"Currently, DreamWorks operates out of offices at Universal Studios. ",2,stage3-rank1,0.08484,2,3,1R8bRFWzuIhNiRandt7SpXabpDp2,65068,0.69883,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,"DreamWorks' former feature animation unit, now known as DreamWorks Animation.",3,stage1-rank1,0.36439,4,2,1R8bRFWzuIhNiRandt7SpXabpDp2,50327,0.04096,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,"DreamWorks' former feature animation unit, now known as DreamWorks Animation.",3,stage2-rank1,0.22139,5,3,1R8bRFWzuIhNiRandt7SpXabpDp2,50327,0.47506,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,"DreamWorks' former feature animation unit, now known as DreamWorks Animation.",3,stage2-rank2,1.39426,3,4,1R8bRFWzuIhNiRandt7SpXabpDp2,50327,1.57981,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,"DreamWorks' former feature animation unit, now known as DreamWorks Animation.",3,stage2-rank3,2.46565,2,0,1R8bRFWzuIhNiRandt7SpXabpDp2,50327,2.90487,TRUE
25-34,"Graduate (MS, PhD) or Professional degree",Male,no,Stimulus 3,"DreamWorks' former feature animation unit, now known as DreamWorks Animation.",3,stage3-rank1,0.48871,1,1,1R8bRFWzuIhNiRandt7SpXabpDp2,50327,1.24883,TRUE
25-34,High school graduate (or equivalent),Male,no,Stimulus 1,I think there should be as few stops as possible in the animation,0,stage1-rank1,0.11439,1,0,2MLtILJ4OLNRIBbazMVjN5YVvB12,73866,0,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 1,I think there should be as few stops as possible in the animation,0,stage2-rank1,0,2,3,2MLtILJ4OLNRIBbazMVjN5YVvB12,73866,0.15487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 1,I think there should be as few stops as possible in the animation,0,stage2-rank2,0.41565,5,4,2MLtILJ4OLNRIBbazMVjN5YVvB12,73866,0.85487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 1,I think there should be as few stops as possible in the animation,0,stage2-rank3,0.91565,3,1,2MLtILJ4OLNRIBbazMVjN5YVvB12,73866,1.35487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 1,I think there should be as few stops as possible in the animation,0,stage3-rank1,0.08484,4,2,2MLtILJ4OLNRIBbazMVjN5YVvB12,73866,0.69883,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 3,"The text should move with the bars, and there should be as few transitions as possible",1,stage1-rank1,0.36439,1,3,2MLtILJ4OLNRIBbazMVjN5YVvB12,126618,0.04096,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 3,"The text should move with the bars, and there should be as few transitions as possible",1,stage2-rank1,0.22139,2,1,2MLtILJ4OLNRIBbazMVjN5YVvB12,126618,0.47506,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 3,"The text should move with the bars, and there should be as few transitions as possible",1,stage2-rank2,1.39426,3,0,2MLtILJ4OLNRIBbazMVjN5YVvB12,126618,1.57981,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 3,"The text should move with the bars, and there should be as few transitions as possible",1,stage2-rank3,2.46565,4,2,2MLtILJ4OLNRIBbazMVjN5YVvB12,126618,2.90487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 3,"The text should move with the bars, and there should be as few transitions as possible",1,stage3-rank1,0.48871,5,4,2MLtILJ4OLNRIBbazMVjN5YVvB12,126618,1.24883,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 4,The animation should flow smoothly into the end result,2,stage1-rank1,1.01439,1,3,2MLtILJ4OLNRIBbazMVjN5YVvB12,117753,0.39096,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 4,The animation should flow smoothly into the end result,2,stage2-rank1,0.74426,3,2,2MLtILJ4OLNRIBbazMVjN5YVvB12,117753,0.92981,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 4,The animation should flow smoothly into the end result,2,stage2-rank2,1.11565,2,0,2MLtILJ4OLNRIBbazMVjN5YVvB12,117753,1.25487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 4,The animation should flow smoothly into the end result,2,stage2-rank3,1.64426,4,1,2MLtILJ4OLNRIBbazMVjN5YVvB12,117753,1.52981,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 4,The animation should flow smoothly into the end result,2,stage3-rank1,0.87229,5,4,2MLtILJ4OLNRIBbazMVjN5YVvB12,117753,1.29883,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 2,It should have as few stops between the beginning and end as possible,3,stage1-rank1,0.11439,1,4,2MLtILJ4OLNRIBbazMVjN5YVvB12,130453,0,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 2,It should have as few stops between the beginning and end as possible,3,stage2-rank1,0,4,3,2MLtILJ4OLNRIBbazMVjN5YVvB12,130453,0.15487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 2,It should have as few stops between the beginning and end as possible,3,stage2-rank2,0.41565,2,0,2MLtILJ4OLNRIBbazMVjN5YVvB12,130453,0.85487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 2,It should have as few stops between the beginning and end as possible,3,stage2-rank3,0.91565,3,1,2MLtILJ4OLNRIBbazMVjN5YVvB12,130453,1.35487,FALSE
25-34,High school graduate (or equivalent),Male,no,Stimulus 2,It should have as few stops between the beginning and end as possible,3,stage3-rank1,0,5,2,2MLtILJ4OLNRIBbazMVjN5YVvB12,130453,0.69883,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 2,"The best one clearly crunches inwards as the graph zooms out to show it on a larger scale. The worst appears to look like it is expanding the data, when really the data is supposed to be getting pushed inwards.",0,stage1-rank1,0.11439,1,3,2xLITuM3igTsVSJLf8I4VXwv0MM2,245956,0,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 2,"The best one clearly crunches inwards as the graph zooms out to show it on a larger scale. The worst appears to look like it is expanding the data, when really the data is supposed to be getting pushed inwards.",0,stage2-rank1,0,2,1,2xLITuM3igTsVSJLf8I4VXwv0MM2,245956,0.15487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 2,"The best one clearly crunches inwards as the graph zooms out to show it on a larger scale. The worst appears to look like it is expanding the data, when really the data is supposed to be getting pushed inwards.",0,stage2-rank2,0.41565,4,2,2xLITuM3igTsVSJLf8I4VXwv0MM2,245956,0.85487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 2,"The best one clearly crunches inwards as the graph zooms out to show it on a larger scale. The worst appears to look like it is expanding the data, when really the data is supposed to be getting pushed inwards.",0,stage2-rank3,0.91565,5,0,2xLITuM3igTsVSJLf8I4VXwv0MM2,245956,1.35487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 2,"The best one clearly crunches inwards as the graph zooms out to show it on a larger scale. The worst appears to look like it is expanding the data, when really the data is supposed to be getting pushed inwards.",0,stage3-rank1,0,3,4,2xLITuM3igTsVSJLf8I4VXwv0MM2,245956,0.69883,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 1,"The chart that is in first is the best because the animation is smooth, and able to show the omission of the data in a way that does not skew the perception. The one that is the worst is not smooth for starters, and then pulls the data up before out, making it look like it is skewing the data.",1,stage1-rank1,0.11439,1,2,2xLITuM3igTsVSJLf8I4VXwv0MM2,251938,0,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 1,"The chart that is in first is the best because the animation is smooth, and able to show the omission of the data in a way that does not skew the perception. The one that is the worst is not smooth for starters, and then pulls the data up before out, making it look like it is skewing the data.",1,stage2-rank1,0,2,3,2xLITuM3igTsVSJLf8I4VXwv0MM2,251938,0.15487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 1,"The chart that is in first is the best because the animation is smooth, and able to show the omission of the data in a way that does not skew the perception. The one that is the worst is not smooth for starters, and then pulls the data up before out, making it look like it is skewing the data.",1,stage2-rank2,0.41565,4,4,2xLITuM3igTsVSJLf8I4VXwv0MM2,251938,0.85487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 1,"The chart that is in first is the best because the animation is smooth, and able to show the omission of the data in a way that does not skew the perception. The one that is the worst is not smooth for starters, and then pulls the data up before out, making it look like it is skewing the data.",1,stage2-rank3,0.91565,5,0,2xLITuM3igTsVSJLf8I4VXwv0MM2,251938,1.35487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 1,"The chart that is in first is the best because the animation is smooth, and able to show the omission of the data in a way that does not skew the perception. The one that is the worst is not smooth for starters, and then pulls the data up before out, making it look like it is skewing the data.",1,stage3-rank1,0.08484,3,1,2xLITuM3igTsVSJLf8I4VXwv0MM2,251938,0.69883,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 4,"The best transition here is able to show the adjustment of the figures on the side more smoothly, while also representing the fact that the different points are being averaged together. It does this by showing them move into an average point before turning to graphs. The worst animation almost makes it look like the numbers are being adjusted. The data points move towards a common point, but they do this at the same time the graph adjusts. Then the overall top part of each bar is pulled upwards. This makes it look like something is being manipulated in the data, as the eyes are not focusing on the graph adjusting, instead they are looking at the points averaging. This makes it confusing and seem like something is being done that is incorrect. ",2,stage1-rank1,1.01439,3,0,2xLITuM3igTsVSJLf8I4VXwv0MM2,252170,0.39096,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 4,"The best transition here is able to show the adjustment of the figures on the side more smoothly, while also representing the fact that the different points are being averaged together. It does this by showing them move into an average point before turning to graphs. The worst animation almost makes it look like the numbers are being adjusted. The data points move towards a common point, but they do this at the same time the graph adjusts. Then the overall top part of each bar is pulled upwards. This makes it look like something is being manipulated in the data, as the eyes are not focusing on the graph adjusting, instead they are looking at the points averaging. This makes it confusing and seem like something is being done that is incorrect. ",2,stage2-rank1,0.74426,2,4,2xLITuM3igTsVSJLf8I4VXwv0MM2,252170,0.92981,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 4,"The best transition here is able to show the adjustment of the figures on the side more smoothly, while also representing the fact that the different points are being averaged together. It does this by showing them move into an average point before turning to graphs. The worst animation almost makes it look like the numbers are being adjusted. The data points move towards a common point, but they do this at the same time the graph adjusts. Then the overall top part of each bar is pulled upwards. This makes it look like something is being manipulated in the data, as the eyes are not focusing on the graph adjusting, instead they are looking at the points averaging. This makes it confusing and seem like something is being done that is incorrect. ",2,stage2-rank2,1.11565,1,3,2xLITuM3igTsVSJLf8I4VXwv0MM2,252170,1.25487,FALSE
18-24,Associate or Bachelors degree,Male,no,Stimulus 4,"The best transition here is able to show the adjustment of the figures on the side more smoothly, while also representing the fact that the different points are being averaged together. It does this by showing them move into an average point before turning to graphs. The worst animation almost makes it look like the numbers are being adjusted. The data points move towards a common point, but they do this at the same time the graph adjusts. Then the overall top part of each bar is pulled upwards. This makes it look like something is being manipulated in the data, as the eyes are not focusing on the graph adjusting, instead they are looking at the points averaging. This makes it confusing and seem like something is being done that is incorrect. ",2,stage2-rank3,1.64426,5,2,2xLITuM3igTsVSJLf8I4VXwv0MM2,252170,1.52981,FALSE
